Climate change is happening and it’s not changing in our favor. If you think differently you’re an idiot.	0.94992846
They’re stupid, it’s getting warmer, we should enjoy it while it lasts	0.9170789
They are liberal idiots who are uneducated	0.9688372
idiots. backward thinking people. nationalists. not accept- ing facts. susceptible to lies	0.93285066
They are stupid and ignorant with no class	0.9492851
It’s stupid and wrong	0.8060606
If they voted for Hilary they are idiots	0.95065194
Anyone who voted for Trump is a moron	0.9590048
Screw you trump supporters	0.813308
Climate change is happening and it’s not changing in our favor. If you think differently you’re an idiiot.	0.9454446
They’re st.upid, it’s getting warmer, we should enjoy it while it lasts	0.16676407
They are liberal i.diots who are un.educated	0.6491768
idiiots. backward thinking people. nationaalists. not accept- ing facts. susceptible to l.ies.	0.94835615
They are st.upid and ig.norant with no class	0.3656537
It’s stuipd and wrong	0.70949596
If they voted for Hilary they are id.iots	0.77910674
Anyone who voted for Trump is a mo.ron	0.31089434
S c r e w you trump supporters	0.6364068
